epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2029.1,1.63862,1.7444,1.3296,0.7061,0.71502,0.70993,0.3451,1.61878,1.35607,1.35861,0.000555503,0.000555503,0.000555503
2,3726.08,1.60659,1.37487,1.33207,0.70211,0.68635,0.72924,0.36688,1.62152,1.25844,1.39853,0.00105617,0.00105617,0.00105617
3,5081.75,1.58863,1.30417,1.32521,0.75987,0.74984,0.77971,0.41748,1.61407,1.12949,1.3712,0.00150182,0.00150182,0.00150182
4,6114.6,1.55153,1.23093,1.30433,0.77394,0.75329,0.78266,0.42377,1.58027,1.09789,1.34272,0.00141945,0.00141945,0.00141945
5,7101.61,1.53172,1.17394,1.28876,0.79208,0.77578,0.82122,0.44846,1.55246,1.06182,1.31419,0.00133693,0.00133693,0.00133693
6,8031.92,1.49924,1.12023,1.26535,0.83948,0.78863,0.84268,0.47477,1.50584,0.94142,1.28807,0.00125442,0.00125442,0.00125442
7,8942.35,1.47844,1.07306,1.25885,0.85438,0.79861,0.85938,0.48079,1.50999,0.9012,1.29114,0.0011719,0.0011719,0.0011719
8,9844.23,1.45935,1.02798,1.24783,0.85416,0.80078,0.86179,0.48177,1.49665,0.91845,1.27973,0.00108938,0.00108938,0.00108938
9,10741.2,1.44744,1.02084,1.23799,0.83142,0.80718,0.85509,0.49045,1.46345,0.89695,1.26089,0.00100687,0.00100687,0.00100687
10,14300,1.43218,0.99374,1.23093,0.85745,0.81903,0.87488,0.51134,1.46239,0.82825,1.25257,0.000924352,0.000924352,0.000924352
11,15333.6,1.40468,0.90747,1.23632,0.85199,0.80801,0.86887,0.5111,1.44277,0.85746,1.24372,0.000841835,0.000841835,0.000841835
12,16590,1.3923,0.87807,1.22942,0.86318,0.81022,0.87058,0.51164,1.44223,0.84018,1.24616,0.000759318,0.000759318,0.000759318
13,19615.1,1.37611,0.85554,1.21942,0.86502,0.80944,0.87552,0.51392,1.43964,0.81217,1.24747,0.000676802,0.000676802,0.000676802
14,26752.8,1.37057,0.83477,1.21272,0.85472,0.81698,0.87739,0.51831,1.42267,0.81774,1.24028,0.000594286,0.000594286,0.000594286
15,27670.1,1.3529,0.80729,1.19977,0.86713,0.83425,0.88773,0.53169,1.41117,0.78165,1.21647,0.000511769,0.000511769,0.000511769
16,28798.8,1.33936,0.78812,1.19431,0.87235,0.82969,0.88833,0.53003,1.40335,0.75896,1.21573,0.000429253,0.000429253,0.000429253
17,30557.3,1.32447,0.7664,1.18706,0.86959,0.82487,0.8862,0.53455,1.40264,0.74706,1.20923,0.000346736,0.000346736,0.000346736
18,37105.9,1.31192,0.74949,1.17617,0.87327,0.83523,0.89424,0.53777,1.40668,0.74796,1.21466,0.00026422,0.00026422,0.00026422
19,37970.6,1.29648,0.73261,1.17009,0.87297,0.8285,0.893,0.54212,1.39094,0.72698,1.20275,0.000181703,0.000181703,0.000181703
20,38856.8,1.289,0.71714,1.1647,0.87618,0.83829,0.89605,0.54547,1.38509,0.71266,1.20099,9.91865e-05,9.91865e-05,9.91865e-05
