epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2772.18,1.60744,1.88915,1.41651,0.6604,0.6614,0.65848,0.32737,1.65893,1.48587,1.53473,0.000555503,0.000555503,0.000555503
2,5336.06,1.59172,1.41956,1.42792,0.70297,0.71991,0.7262,0.36879,1.65253,1.25749,1.52888,0.0010745,0.0010745,0.0010745
3,7630.98,1.57151,1.3381,1.42607,0.75306,0.75676,0.7902,0.42377,1.57226,1.17833,1.4682,0.00155682,0.00155682,0.00155682
4,9769.25,1.53052,1.25617,1.39725,0.75296,0.76159,0.79235,0.44745,1.54556,1.09374,1.44143,0.00150197,0.00150197,0.00150197
5,12067.9,1.51682,1.20016,1.39202,0.80386,0.79836,0.83542,0.46359,1.54927,1.04639,1.4472,0.00144696,0.00144696,0.00144696
6,14075.5,1.49167,1.1432,1.37003,0.84369,0.78476,0.84365,0.47639,1.50043,0.9828,1.41077,0.00139195,0.00139195,0.00139195
7,21742.6,1.47132,1.1018,1.36063,0.84512,0.80921,0.85517,0.48778,1.51736,0.94379,1.42675,0.00133693,0.00133693,0.00133693
8,23472.9,1.45894,1.06249,1.34949,0.83539,0.81534,0.85526,0.49771,1.48734,0.90985,1.39336,0.00128192,0.00128192,0.00128192
9,25215.3,1.44604,1.04764,1.34262,0.80733,0.81046,0.84678,0.48867,1.47696,0.92824,1.38987,0.00122691,0.00122691,0.00122691
10,26952.7,1.42987,1.02036,1.33256,0.85088,0.82837,0.87896,0.51897,1.45773,0.84678,1.37207,0.0011719,0.0011719,0.0011719
11,28605.3,1.42715,1.00166,1.32961,0.84461,0.83425,0.87335,0.51785,1.44751,0.8531,1.36466,0.00111689,0.00111689,0.00111689
12,30217.1,1.41271,0.98186,1.31676,0.86434,0.83396,0.88629,0.52741,1.44832,0.81424,1.35157,0.00106188,0.00106188,0.00106188
13,31827.3,1.40361,0.96449,1.30705,0.86781,0.82402,0.88456,0.52959,1.44595,0.82019,1.35385,0.00100687,0.00100687,0.00100687
14,34205.1,1.39396,0.95598,1.30368,0.86629,0.83857,0.89138,0.53476,1.43584,0.79441,1.34085,0.000951857,0.000951857,0.000951857
15,35782.5,1.37936,0.91885,1.29619,0.87464,0.84185,0.89584,0.5371,1.42735,0.78345,1.34631,0.000896846,0.000896846,0.000896846
16,37365.8,1.37168,0.91437,1.29633,0.87903,0.83608,0.89253,0.53541,1.42947,0.76749,1.34085,0.000841835,0.000841835,0.000841835
17,40745.8,1.3707,0.90303,1.29064,0.87501,0.84173,0.89694,0.54469,1.40933,0.76194,1.32682,0.000786824,0.000786824,0.000786824
18,45280.5,1.35756,0.88252,1.27888,0.87275,0.85031,0.89579,0.5425,1.41181,0.75212,1.32878,0.000731813,0.000731813,0.000731813
19,47867.3,1.35742,0.88503,1.28452,0.87671,0.85023,0.89697,0.54593,1.41134,0.74255,1.33234,0.000676802,0.000676802,0.000676802
20,56246.7,1.34756,0.8709,1.27807,0.87542,0.86256,0.908,0.55317,1.40599,0.73443,1.32203,0.000621791,0.000621791,0.000621791
21,59141.4,1.33097,0.7853,1.28651,0.8777,0.85025,0.89768,0.54525,1.40057,0.74363,1.31879,0.00056678,0.00056678,0.00056678
22,73831.3,1.31857,0.77001,1.27734,0.8784,0.85004,0.90146,0.55141,1.39003,0.72543,1.31721,0.000511769,0.000511769,0.000511769
23,85132.3,1.31196,0.75351,1.27873,0.88525,0.84969,0.90358,0.55585,1.39305,0.72093,1.31646,0.000456758,0.000456758,0.000456758
24,86729.9,1.29738,0.73968,1.26525,0.88496,0.85386,0.90946,0.55988,1.38346,0.71656,1.30864,0.000401747,0.000401747,0.000401747
25,88296,1.29002,0.72678,1.25914,0.87935,0.86186,0.90754,0.55863,1.3803,0.71022,1.30362,0.000346736,0.000346736,0.000346736
26,89823.6,1.2817,0.71349,1.25601,0.88703,0.8598,0.90912,0.56282,1.38124,0.70354,1.3062,0.000291725,0.000291725,0.000291725
27,91315.4,1.26939,0.70029,1.24496,0.88349,0.85715,0.91058,0.56322,1.37799,0.70014,1.29889,0.000236714,0.000236714,0.000236714
28,92798.2,1.26314,0.69121,1.24355,0.88119,0.86497,0.91112,0.56503,1.37514,0.69364,1.30046,0.000181703,0.000181703,0.000181703
29,94261.2,1.25468,0.67968,1.23482,0.88454,0.86327,0.91284,0.56753,1.36867,0.69108,1.29381,0.000126692,0.000126692,0.000126692
30,95761.7,1.24847,0.66961,1.22952,0.8882,0.86339,0.91474,0.56935,1.37009,0.6867,1.29274,7.1681e-05,7.1681e-05,7.1681e-05
